timestamp,moisture_value,moisture_percentage,ph_ph_value,ph_depth,ph_light,ph_temperature,npk_nitrogen,npk_phosphorus,npk_potassium
4/15/2025 16:00,275,74,7.35,2,201,28,51,72,145
4/15/2025 16:00,275,74,7.35,2,201,28,51,72,145
4/15/2025 16:00,279,73,7.35,2,201,28,51,72,145
4/15/2025 16:01,273,74,7.38,2,201,28,51,72,145
4/15/2025 16:01,275,74,7.31,2,201,28,51,72,145
4/15/2025 16:01,275,74,7.31,2,201,28,51,72,145
4/15/2025 16:01,273,74,7.31,2,201,28,51,72,145
4/15/2025 16:01,275,74,7.35,2,202,28,51,72,145
4/15/2025 16:01,274,74,7.31,2,202,28,51,72,145
4/15/2025 16:01,274,74,7.35,2,202,28,51,72,145
4/15/2025 16:02,278,73,7.35,2,202,28,51,72,145
4/15/2025 16:02,275,74,7.35,2,202,28,51,72,145
4/15/2025 16:02,276,74,7.64,2,202,28,51,72,145
4/15/2025 16:02,275,74,7.35,2,202,28,51,72,145
4/15/2025 16:02,273,74,7.35,2,201,28,51,72,145
4/15/2025 16:02,275,74,7.31,2,201,28,51,72,145
4/15/2025 16:02,275,74,7.35,2,201,28,51,72,145
4/15/2025 16:03,276,74,7.31,2,201,28,51,72,145
4/15/2025 16:03,278,73,7.35,2,201,28,51,72,145
4/15/2025 16:03,277,73,7.35,2,201,28,51,72,145
4/15/2025 16:03,283,73,7.35,2,201,28,51,72,145
4/15/2025 16:03,276,74,7.64,1,201,28,51,72,145
4/15/2025 16:03,275,74,7.31,2,202,28,51,72,145
4/15/2025 16:04,276,74,7.6,2,202,28,51,72,145
4/15/2025 16:04,293,72,7.35,2,202,28,51,72,145
4/15/2025 16:04,278,73,7.35,2,202,28,51,72,145
4/15/2025 16:04,275,74,7.31,2,202,28,51,72,145
4/15/2025 16:04,277,73,7.35,2,202,28,51,72,145
4/15/2025 16:04,277,73,7.31,2,202,28,51,72,145
4/15/2025 16:05,274,74,7.31,2,201,28,51,72,145
4/15/2025 16:05,276,74,7.35,2,201,28,51,72,145
4/15/2025 16:05,276,74,7.35,2,201,28,51,72,145
4/15/2025 16:05,274,74,7.64,1,201,28,51,72,145
4/15/2025 16:05,277,73,7.31,2,201,28,51,72,145
4/15/2025 16:05,276,74,7.35,2,201,28,51,72,145
4/15/2025 16:05,276,74,7.31,2,201,28,51,72,145
4/15/2025 16:06,296,72,7.31,2,202,28,51,72,145
4/15/2025 16:06,274,74,7.31,2,202,28,51,72,145
4/15/2025 16:06,276,74,7.35,2,202,28,51,72,145
4/15/2025 16:06,274,74,7.31,2,202,28,51,72,145
4/15/2025 16:06,276,74,7.35,2,202,28,51,72,145
4/15/2025 16:06,276,74,7.38,2,202,28,51,72,145
4/15/2025 16:06,277,73,7.31,2,202,28,51,72,145
4/15/2025 16:07,279,73,7.38,2,202,28,51,72,145
4/15/2025 16:07,279,73,7.31,2,202,28,51,72,145
4/15/2025 16:07,277,73,7.35,2,202,28,51,72,145
4/15/2025 16:07,283,73,7.31,2,202,28,51,72,145
4/15/2025 16:07,291,72,7.35,2,202,28,51,72,145
4/15/2025 16:07,278,73,7.31,2,201,28,51,72,145
4/15/2025 16:08,279,73,7.35,2,201,28,51,72,145
4/15/2025 16:08,278,73,7.35,2,201,28,51,72,145
4/15/2025 16:08,276,74,7.31,2,201,28,51,72,145
4/15/2025 16:08,275,74,7.42,2,201,28,51,72,145
4/15/2025 16:08,281,73,7.35,2,202,28,51,72,145
4/15/2025 16:08,276,74,7.35,2,202,28,51,72,145
4/15/2025 16:08,288,72,7.31,2,202,28,51,72,145
4/15/2025 16:09,278,73,7.35,2,202,28,51,72,145
4/15/2025 16:09,278,73,7.31,2,202,28,51,72,145
4/15/2025 16:09,279,73,7.35,2,202,28,51,72,145
4/15/2025 16:09,277,73,7.31,2,201,28,51,72,145
4/15/2025 16:09,280,73,7.38,2,201,28,51,72,145
4/15/2025 16:09,278,73,7.64,2,201,28,51,72,145
4/15/2025 16:10,279,73,7.31,2,201,28,51,72,145
4/15/2025 16:10,278,73,7.35,1,202,28,51,72,145
4/15/2025 16:10,280,73,7.31,2,202,28,51,72,145
4/15/2025 16:10,279,73,7.35,2,202,28,51,72,145
4/15/2025 16:10,278,73,7.31,2,202,28,51,72,145
4/15/2025 16:10,281,73,7.35,2,202,28,51,72,145
4/15/2025 16:11,276,74,7.27,2,201,28,51,72,145
4/15/2025 16:11,278,73,7.31,2,201,28,51,72,145
4/15/2025 16:11,278,73,7.35,2,201,28,51,72,145
4/15/2025 16:11,276,74,7.35,1,202,28,51,72,145
4/15/2025 16:11,278,73,7.42,2,202,28,51,72,145
4/15/2025 16:11,277,73,7.35,2,202,28,51,72,145
4/15/2025 16:12,279,73,7.35,2,202,28,51,72,145
4/15/2025 16:12,281,73,7.31,2,201,28,51,72,145
